T[K],RRR20,RRR30,RRR40,RRR60,RRR80,RRR100,RRR300
43.725752508361204,683.6421168080369,846.0169301105425,959.2377382365381,1109.6752856795672,1211.3338626168818,1295.6284880927597,1513.2604863032407
44.719063545150505,675.0672544085712,828.8752242537086,934.8290033628929,1075.4724769821348,1169.3301668519448,1252.0988022405495,1444.2163493007674
45.7123745819398,664.7563364589779,811.7335183968747,910.4714776210159,1043.4131577196395,1129.0224689342415,1208.5691163883396,1373.2812411066993
46.7056856187291,654.4454185093846,794.6151041240716,887.5818177595313,1012.8275973557469,1089.4294714932098,1165.1545174487428,1301.0459932547474
47.69899665551839,644.1386819931279,779.718754855744,864.692157898047,982.3788964212504,1050.9302868257425,1121.7523767384885,1248.82785002567
48.69230769230769,633.9146388795124,764.8224055874161,841.8024980365624,952.4820201544863,1014.803900498463,1081.6232807691874,1206.7286324709812
49.68561872909699,623.690595765897,748.8883271629029,818.912838175078,922.5851438877227,978.6775141711837,1043.4153040843455,1159.8076644364048
50.67892976588629,613.4665526522815,732.8323413080907,798.5194708096815,892.6882676209586,945.9111706033755,1005.3528011350229,1106.0046893384094
51.67224080267559,603.6904164797415,716.7763554532786,780.123801761725,862.7913913541946,914.7352588299661,967.7798814058877,1057.4839489685212
52.66555183946488,593.9155978715503,700.7203695984665,761.7281327137684,839.3166934827306,883.7093644433127,930.2069616767528,1025.427362797438
53.65886287625418,584.1407792633589,684.6643837436544,743.3324636658119,816.3598199771603,858.3158987765033,900.4893012806162,993.3707766263547
54.65217391304348,575.2799099709246,671.5420018280807,725.759301799478,794.1642839590045,832.9224331096941,873.0373616125781,959.3842150408362
55.64548494983278,566.6351007397463,658.9509207325448,710.6907014612701,775.4322841233867,808.58604178372,845.5854219445398,925.0481183641531
56.63879598662207,557.9902915085682,646.5635366295272,695.6221011230624,756.7002842877691,787.7222849146812,822.6470589558994,890.7120216874702
57.63210702341137,549.8510855256113,634.3448048321413,680.5535007848547,737.9682844521514,766.8585280456421,799.8975013906676,863.606101244414
58.62541806020067,542.2899560855369,622.1260730347556,666.4647309899385,719.2362846165337,746.5828689457021,777.1479438254356,840.9535757508464
59.618729096989966,534.7288266454626,609.9073412373699,652.7515657454165,701.5519616445447,729.6439480164337,759.3036394722087,818.301050257279
60.61204013377927,527.1676972053883,597.6886094399841,639.0384005008945,686.5658646966922,712.705027087165,741.6766637742469,795.7417743905079
61.60535117056856,519.9984121101899,585.4698776425985,625.3252352563725,671.5797677488397,695.7661061578965,724.0496880762852,773.5160065108321
62.59866220735786,513.6921412196336,577.1965660859854,611.6120700118504,656.5936708009871,680.1805748186085,707.2599630214668,751.2902386311561
63.591973244147155,507.3858703290773,569.3818011207773,598.1165016375905,644.7138267218222,664.7523377966446,691.1031950979052,730.23106444175
64.58528428093646,501.079599438521,561.6467625380665,589.1537844118037,632.905064701799,649.3241007746803,674.9464271743434,715.7816608890097
65.57859531772576,495.1695223021182,554.1400903295245,580.191067186017,621.0963026817758,635.6625463479346,659.1732812684314,701.3322573362694
66.57190635451505,489.4275512468388,546.6334181209826,571.2283499602303,609.2875406617527,624.0578004017818,647.0721093584045,686.8828537835292
67.56521739130434,483.6855801915594,539.1267459124406,563.1843446582108,597.4787786417296,612.4530544556292,634.9709374483776,672.8181672817549
68.55852842809365,477.9436091362799,531.6200737038985,555.3164953644608,585.6700166217063,600.8483085094763,622.8697655383505,659.0499973773261
69.55183946488295,472.7684146323612,524.1134014953566,547.448646070711,576.7874546901193,591.2764624140561,611.4133822473215,645.2818274728976
70.54515050167224,468.3071196491111,516.6067292868146,539.580796776961,568.4687340368287,582.0963300825088,601.4284582211637,631.5136575684691
71.53846153846153,463.84582466586096,509.3090799490214,531.7129474832112,560.150013383538,572.9161977509613,591.443534195006,617.7454876640405
72.53177257525084,459.3845296826108,504.4854744244346,525.1689194773946,552.2547656482336,563.7661791400317,581.4586101688482,604.5409621645418
73.52508361204013,455.05540793985654,499.66186889984783,519.7160506858135,546.1319181450029,556.6576946499717,573.4654368342324,595.611654414953
74.51839464882943,451.15230935185946,494.85274074944397,514.2631818942322,540.0090706417723,549.5492101599117,566.0468522940013,586.6823466653642
75.51170568561874,447.2492107638624,490.63140116180375,508.8103131026508,533.8862231385416,542.4407256698515,558.6282677537699,577.7530389157753
76.50501672240803,443.3461121758653,486.4100615741636,503.3574443110695,527.7633756353109,535.3322411797915,551.2096832135388,568.9484743526053
77.49832775919732,439.4430135878682,482.1887219865235,497.9719925471068,521.6405281320804,529.3389354043934,544.872666547406,563.790239304391
78.49163879598662,435.54872674512114,477.96738239888333,494.66006462832377,515.5176806288497,524.3859767385945,539.2520579718174,558.6320042561766
79.48494983277592,432.7946453995571,473.7460428112431,491.3481367095407,509.85209425054677,519.4330180727956,533.6314493962288,553.4737692079623
80.47826086956522,430.0405640539932,469.524703223603,488.03620879075766,505.27401436250784,514.4800594069967,528.0108408206403,548.3155341597479
81.47157190635451,427.2864827084292,465.30336363596285,484.72428087197466,500.6959344744689,509.63911589336374,522.7476861369147,543.1572991115336
82.4648829431438,424.53240136286524,461.3073080189143,481.4123529531916,496.1178545864299,504.99532842922594,518.2359428237181,537.9990640633192
83.45819397993311,421.77832001730127,459.0484323520856,478.1004250344085,491.5397746983909,500.3515409650881,513.7241995105215,532.696051989457
84.45150501672241,419.94509159093394,456.78955668525697,474.89070957953663,488.3188238233409,495.7077535009503,509.2124561973249,527.2848817826783
85.4448160535117,418.16222484555504,454.5306810184283,471.7931078612587,485.2666639890213,492.5646235065451,504.70071288412834,521.8737115758997
86.43812709030101,416.3793581001761,452.19121753814676,468.6955061429808,482.2145041547016,489.59562863448866,500.8913984267741,516.462541369121
87.4314381270903,414.5964913547972,449.7224524372104,465.59790442470285,479.162344320382,486.6266337624322,497.250455130199,511.05137116234243
88.4247491638796,412.8136246094183,447.253687336274,462.5003027064249,476.11018448606234,483.65763889037584,493.60951183362386,506.69247250572636
89.41806020066889,411.14189489788686,444.78492223533766,459.402700988147,473.2753175631418,480.6886440183194,489.9685685370487,503.4421509460263
90.4113712374582,409.5088986181351,442.3161571344013,456.3444044629471,470.55321790482304,477.71964914626295,486.3664177814661,500.1918293863261
91.40468227424749,407.8759023383834,439.8473920334649,454.1976530103055,467.8311182465044,474.7506542742065,483.66392294472274,496.94150782662604
92.39799331103679,406.2429060586317,437.37862693252856,452.05090155766385,465.1090185881857,471.7915358086805,480.9614281079793,493.6960096457599
93.3913043478261,404.60990977888,434.90986183159214,449.90415010502215,462.5471286325678,469.4109838092801,478.2589332712359,490.5603909473386
94.38461538461539,403.12422018438843,432.4410967306558,447.7573986523805,460.30763133381254,467.03043180987964,475.5564384344925,487.4247722489174
95.37792642140468,402.0197043604321,429.9884746600803,445.6106471997389,458.0681340350572,464.6498798104792,472.86151386289714,484.28915355049617
96.37123745819397,400.9151885364758,428.79771557811875,443.71982106364857,455.82863673630186,462.26932781107877,470.7583392410142,481.1535348520749
97.36454849498328,399.8106727125195,427.6069564961571,442.2386717838176,453.5891394375465,459.8887758116783,468.65516461913126,478.0179161536537
98.35785953177258,398.70615688856316,426.41619741419555,440.75752250398665,451.4216499192011,457.61425060628915,466.55198999724837,475.8999388094466
99.35117056856187,397.6016410646068,425.225438332234,439.2763732241557,449.6512305312295,455.6575155418617,464.4488153753655,473.80381102832456
100.34448160535118,396.49712524065046,424.06607144519495,437.7952239443247,447.8808111432578,453.7007804774342,462.34564075348254,471.70768324720245
101.33779264214047,395.8257846860014,422.9206653107663,435.929458858797,446.1103917552862,451.74404541300675,460.1025646115668,469.6115554660804
102.33110367892976,395.4032630852127,421.77525917633767,433.903506853725,444.33997236731454,449.7873103485793,457.80122151025495,467.51542768495835
103.32441471571906,394.980741484424,420.62985304190903,431.877554848653,442.5695529793429,447.8305752841518,455.4998784089432,465.41929990383625
104.31772575250837,394.5582198836354,419.4844469074804,429.85160284358096,440.7991335913713,445.87384021972434,453.19853530763135,463.3849804386759
105.31103678929766,394.1356982828467,418.33904077305175,427.825650838509,439.02871420339966,443.91710515529684,450.8971922063195,461.4446099971115
106.30434782608695,393.713176682058,417.1936346386231,425.882149379538,437.25829481542803,441.9603700908694,448.68080338406946,459.5042395555472
107.29765886287626,393.09897425772414,416.04822850419447,424.63405418593436,435.48787542745634,440.0036350264419,447.1809378684924,457.5638691139828
108.29096989966555,392.2323061917308,414.90282236976583,423.38595899233076,433.7174560394848,438.04689996201444,445.68107235291535,455.62349867241846
109.28428093645485,391.3656381257374,413.75741623533725,422.13786379872715,432.3594398803124,436.2327980567198,444.18120683733827,453.6831282308541
110.27759197324414,390.498970059744,412.6120101009086,420.88976860512355,431.00400512002375,435.0228978723063,442.68134132176124,451.90489338807964
111.27090301003345,389.6323019937506,411.51283366675057,419.64167341151995,429.6485703597351,433.81299768789285,441.18147580618415,450.18290671732103
112.26421404682274,388.7656339277572,410.52428225438916,418.39357821791634,428.2931355994465,432.60309750347943,439.71438793842935,448.4609200465625
113.25752508361204,387.98391891575193,409.53573084202776,417.14548302431274,426.9377008391579,431.39319731906596,438.3813364159663,446.7389333758039
114.25083612040135,387.58844306598814,408.54717942966636,415.8973878307091,425.5822660788693,430.1832971346525,437.04828489350325,445.0169467050453
115.24414715719064,387.19296721622436,407.55862801730495,415.0934459954883,424.4018660420484,429.0746178190271,435.71523337104026,443.29496003428676
116.23745819397993,386.7974913664606,406.69046025159116,414.4929690471992,423.22734098616735,428.0123073808048,434.3821818485772,441.79217139882235
117.23076923076923,386.4020155166968,406.1528701794184,413.89249209891005,422.05281593028633,426.94999694258263,433.0491303261142,440.64535877633284
118.22408026755853,386.00653966693295,405.61528010724567,413.29201515062095,420.87829087440525,425.88768650436043,431.71607880365116,439.49854615384334
119.21739130434783,385.61106381716917,405.0776900350729,412.69153820233186,419.7037658185242,424.82537606613823,430.9703636195671,438.35173353135383
